Expt. Number,Keypress,Primed With,Appeared First,Appearance Order,,Pressed,Time,Worked,,
1/2,Left/Right,Color,Color,Left,Right,Color,0/120/300,True/False,,
1,Right ,control group,brown,brown,green,green,0,F,,
1,Right ,control group,brown,brown,red,red,0,F,,
1,Left ,control group,purple,purple,green,purple,0,T,,
1,Right ,control group,brown,brown,green,green,0,F,,
1,Right ,control group,brown,brown,green,green,0,F,,
1,Right ,control group,brown,brown,red,red,0,F,,
1,Right ,control group,brown,brown,red,red,0,F,,
1,Left ,control group,purple,purple,green,purple,0,T,,
1,Left ,control group,purple,purple,green,purple,0,T,,
1,Right ,control group,purple,orange,purple,purple,0,T,,
1,Right ,control group,purple,orange,purple,purple,0,T,,
1,Right ,control group,brown,red,brown,brown,0,T,,
1,Right ,control group,brown,red,brown,brown,0,T,,
1,Left ,control group,purple,green,purple,green,0,F,,
1,Left ,control group,purple,green,purple,green,0,F,,
1,Right ,control group,pink,green,pink,pink,0,T,,
1,Right ,control group,pink,green,pink,pink,0,T,,
1,Right ,control group,brown,green,brown,brown,0,T,,
1,Right ,control group,brown,green,brown,brown,0,T,,
1,Right ,control group,purple,orange,purple,purple,0,T,,
1,Right ,control group,brown,red,brown,brown,0,T,,
1,Left ,control group,purple,green,purple,green,0,F,,
1,Right ,control group,pink,green,pink,pink,0,T,,
1,Right ,control group,brown,green,brown,brown,0,T,,
2,Right ,control group,yellow,yellow,blue,blue,0,F,,
2,Right ,control group,blue,blue,yellow,yellow,0,F,,
2,Right ,control group,blue,blue,yellow,yellow,0,F,,
2,Right ,control group,yellow,yellow,blue,blue,0,F,,
2,Right ,control group,blue,blue,yellow,yellow,0,F,,
2,Right ,control group,blue,blue,yellow,yellow,0,F,,
2,Right ,control group,green,green,orange,orange,0,F,,
2,Right ,control group,green,green,orange,orange,0,F,,
2,Left ,control group,yellow,yellow,blue,yellow,0,T,,
2,Right ,control group,orange,orange,green,green,0,F,,
2,Right ,control group,green,green,orange,orange,0,F,,
2,Right ,control group,orange,orange,green,green,0,F,,
2,Right ,control group,orange,orange,green,green,0,F,,
2,Right ,control group,green,green,orange,orange,0,F,,
2,Keypress:,control group,green,green,orange,green,0,T,,
2,Right ,control group,green,green,orange,orange,0,F,,
2,Right ,control group,green,green,orange,orange,0,F,,
2,Left ,control group,yellow,yellow,blue,yellow,0,T,,
2,Right ,control group,yellow,yellow,blue,blue,0,F,,
2,Right ,control group,yellow,yellow,blue,blue,0,F,,
