2,Right (P),skittles_green,red,"{'left': 'red', 'right': 'green'}",0
2,Right (P),barakat_green,orange,"{'left': 'orange', 'right': 'green'}",0
2,Right (P),mnm_blue,yellow,"{'left': 'yellow', 'right': 'blue'}",0
1,,"(255, 0, 0)","(128, 0, 128)","{'left': (255, 0, 0), 'right': (128, 0, 128)}",0
1,Right (P),"(255, 215, 0)","(255, 20, 147)","{'right': (255, 215, 0), 'left': (255, 20, 147)}",0
1,Left (Q),"(0, 255, 0)","(128, 0, 128)","{'right': (0, 255, 0), 'left': (128, 0, 128)}",0
1,Left (Q),"(0, 255, 0)","(128, 0, 128)","{'left': (0, 255, 0), 'right': (128, 0, 128)}",0
1,Left (Q),"(0, 255, 0)","(255, 20, 147)","{'right': (0, 255, 0), 'left': (255, 20, 147)}",0
1,Left (Q),"(255, 215, 0)","(128, 0, 128)","{'left': (255, 215, 0), 'right': (128, 0, 128)}",120
1,Right (P),"(255, 255, 0)","(128, 0, 128)","{'right': (255, 255, 0), 'left': (128, 0, 128)}",300
1,Left (Q),"(255, 215, 0)","(0, 0, 255)","{'right': (255, 215, 0), 'left': (0, 0, 255)}",300
Experiment 1,Keypress: Left (Q),"Primed With: (0, 255, 0)","Appeared First: (128, 0, 128)","Order: {'right': (0, 255, 0), 'left': (128, 0, 128)}",Time: 0
Experiment 1,Keypress: Left (Q),"Primed With: (255, 0, 0)","Appeared First: (128, 0, 128)","Order: {'right': (128, 0, 128), 'left': (255, 0, 0)}",Time: 0
Experiment 1,Keypress: Left (Q),"Primed With: (255, 255, 0)","Appeared First: (150, 75, 0)","Order: {'right': (255, 255, 0), 'left': (150, 75, 0)}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: barakat_green,"Appeared First: (255, 215, 0)","Order: {'right': 'green', 'left': 'orange'}",Time: 120
Experiment 2,Keypress: Right (P),Primed With: pool_black,"Appeared First: (128, 0, 128)","Order: {'right': 'black', 'left': 'purple'}",Time: 300
Experiment 2,Keypress: Left (Q),Primed With: pool_black,"Appeared First: (128, 0, 128)","Order: {'right': 'black', 'left': 'purple'}",Time: 30
Experiment 2,Keypress: Right (P),Primed With: rawabi_orange,"Appeared First: (0, 255, 0)","Order: {'left': 'green', 'right': 'orange'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: pool_black,"Appeared First: (128, 0, 128)","Order: {'left': 'purple', 'right': 'black'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: hello_red,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'red'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: hello_red,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'red'}",Time: 120
Experiment 2,Keypress: Right (P),Primed With: americana_red,"Appeared First: (0, 0, 255)","Order: {'left': 'blue', 'right': 'red'}",Time: 300
Experiment 1,Keypress: Left (Q),"Primed With: (255, 215, 0)","Appeared First: (0, 0, 255)","Order: {'left': (255, 215, 0), 'right': (0, 0, 255)}",Time: 0
Experiment 1,Keypress: Left (Q),"Primed With: (255, 255, 0)","Appeared First: (150, 75, 0)","Order: {'left': (255, 255, 0), 'right': (150, 75, 0)}",Time: 0
Experiment 1,Keypress: Left (Q),"Primed With: (255, 0, 0)","Appeared First: (0, 0, 255)","Order: {'left': (255, 0, 0), 'right': (0, 0, 255)}",Time: 0
Experiment 1,Keypress: Left (Q),"Primed With: (255, 215, 0)","Appeared First: (150, 75, 0)","Order: {'right': (255, 215, 0), 'left': (150, 75, 0)}",Time: 120
Experiment 1,Keypress: Right (P),"Primed With: (255, 255, 0)","Appeared First: (128, 0, 128)","Order: {'right': (255, 255, 0), 'left': (128, 0, 128)}",Time: 300
Experiment 2,Keypress: Left (Q),Primed With: mnm_blue,"Appeared First: (255, 255, 0)","Order: {'left': 'yellow', 'right': 'blue'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: ahoy_blue,"Appeared First: (255, 0, 0)","Order: {'left': 'red', 'right': 'blue'}",Time: 0
Experiment 2,Keypress: Right (P),Primed With: rawabi_orange,"Appeared First: (0, 255, 0)","Order: {'left': 'green', 'right': 'orange'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: rawabi_orange,"Appeared First: (0, 255, 0)","Order: {'left': 'green', 'right': 'orange'}",Time: 120
Experiment 2,Keypress: Left (Q),Primed With: ahoy_blue,"Appeared First: (255, 0, 0)","Order: {'left': 'red', 'right': 'blue'}",Time: 300
Experiment 2,Keypress: Left (Q),Primed With: pool_black,"Appeared First: (128, 0, 128)","Order: {'left': 'purple', 'right': 'black'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: pool_purple,"Appeared First: (0, 0, 0)","Order: {'left': 'black', 'right': 'purple'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: pool_purple,"Appeared First: (0, 0, 0)","Order: {'left': 'black', 'right': 'purple'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: pool_black,"Appeared First: (128, 0, 128)","Order: {'left': 'purple', 'right': 'black'}",Time: 0
Experiment 2,Keypress: Left (Q),Primed With: pool_purple,"Appeared First: (0, 0, 0)","Order: {'left': 'black', 'right': 'purple'}",Time: 120
Experiment 2,Keypress: Right (P),Primed With: pool_black,"Appeared First: (128, 0, 128)","Order: {'left': 'purple', 'right': 'black'}",Time: 300
